ID,scrapeDate,Sponsored,Category,sponsorDate
6470d80cf4e1181b5d1d93d849f49061,2025-05-14,true,,2025-05-14
c823e9fec55e1339abcdcdd2b43611f1,2025-05-14,true,,2025-05-14
aa712a5cc9480b7ee49233f8152f130e,2025-05-14,true,,2025-05-14
fb8ca159804e54d93aa2d99361a69dca,2025-05-14,true,,2025-05-14
bddbcda76f0f2c71c38d222bb8321f82,2025-05-14,true,,2025-05-14
29176c1c0f198e0ef0d6a15fa9ec7a3d,2025-05-14,true,,2025-05-14
3764421ec026dd02882a1b18d86c12e3,2025-05-14,true,,2025-05-14
80270b9531c2d85210cf31088ad5c6dd,2025-05-14,true,,2025-05-14
d7f55604ec4a29ce187d4eabb697e67e,2025-05-14,true,,2025-05-14
ba7177bb139ac2a327e3eee16cf1bbdf,2025-05-14,true,,2025-05-14
ae04fd3501f42f64dc474b4fbb5fbd7e,2025-05-14,true,,2025-05-14
bc46ae5adc7b7ea6e0400acb45189849,2025-05-14,true,,2025-05-14
e0297587926b3e60948ad6e50fac9b8a,2025-05-14,true,,2025-05-14
64cc2386c1ad16fc807b4e887a32b200,2025-05-14,true,,2025-05-14
8341eab20dddc7d299671d5425992151,2025-05-14,true,,2025-05-14
9b27a1b232c4a1ec7feda0ee457e07e8,2025-05-14,true,,2025-05-14
e94e1804b783a5f05a595b6ce2ca57b3,2025-05-14,true,,2025-05-14
6eeed8477ab65f397e839995a7267683,2025-05-14,true,,2025-05-14
d4fd8e170d9fd13bb857a9a8cf1aa7bf,2025-05-14,true,,2025-05-14
6ab96e8a917fca629596f4935bb4c021,2025-05-14,true,,2025-05-14
371856c676a9efabf944a4975f61aa02,2025-05-14,true,,2025-05-14
371c36468bc96fecca116dbc9ff2e4cf,2025-05-14,true,,2025-05-14
e990300394e279337fa3e759b246e4df,2025-05-14,true,,2025-05-14
f1501dc913075f2c3ad30323c280295e,2025-05-14,true,,2025-05-14
86ca7de162cedb069c049f2ca26f582d,2025-05-14,true,,2025-05-14
3ea11d88bae3f67ef443f38532736d55,2025-05-14,true,,2025-05-14
2c0764e5419694ca2fd4dcab0cbff006,2025-05-14,true,,2025-05-14
4d6e1b1888a6af1a4bb1bec8a2d0d21f,2025-05-14,true,,2025-05-14
5c7cb93a994e1387fe1effa3857b23cc,2025-05-14,true,,2025-05-14
9b41112d5fd472802fdb3fbfaaf5e253,2025-05-14,true,,2025-05-14
2c0764e5419694ca2fd4dcab0cbff006,2025-05-14,true,,2025-05-14
4d6e1b1888a6af1a4bb1bec8a2d0d21f,2025-05-14,true,,2025-05-14
5c7cb93a994e1387fe1effa3857b23cc,2025-05-14,true,,2025-05-14
9b41112d5fd472802fdb3fbfaaf5e253,2025-05-14,true,,2025-05-14
6bba3c312097500a08d95da67966c052,2025-05-14,true,,2025-05-14
ca6185bbf908ad319591e8521cba53fd,2025-05-14,true,,2025-05-14
dbec4ff96ff4e35b4054a04c7b3ea16c,2025-05-14,true,,2025-05-14
84fc736a5309f414d934f54ecc3ffd87,2025-05-14,true,,2025-05-14
29a5757db35651b021ed3559b083f019,2025-05-14,true,,2025-05-14
02ef80421af5a0843e63bf44e7f8b085,2025-05-14,true,,2025-05-14
f81d2117a29ab692a7a0fa5cf1c6f8c5,2025-05-14,true,,2025-05-14
6bba3c312097500a08d95da67966c052,2025-05-14,true,,2025-05-14
ca6185bbf908ad319591e8521cba53fd,2025-05-14,true,,2025-05-14
dbec4ff96ff4e35b4054a04c7b3ea16c,2025-05-14,true,,2025-05-14
84fc736a5309f414d934f54ecc3ffd87,2025-05-14,true,,2025-05-14
29a5757db35651b021ed3559b083f019,2025-05-14,true,,2025-05-14
